model params: 2,236,682
device: cuda, train batches/epoch: 391
epoch  73/180 | train_loss 0.8833 acc 0.8358 | test_loss 0.9367 acc 0.8069 | lr 0.06715 | 15.9s
epoch  74/180 | train_loss 0.8765 acc 0.8353 | test_loss 0.9202 acc 0.8135 | lr 0.06630 | 16.0s
epoch  75/180 | train_loss 0.8765 acc 0.8358 | test_loss 1.2137 acc 0.7073 | lr 0.06545 | 15.9s
epoch  76/180 | train_loss 0.8711 acc 0.8391 | test_loss 0.8898 acc 0.8364 | lr 0.06459 | 15.9s
epoch  77/180 | train_loss 0.8729 acc 0.8367 | test_loss 0.9004 acc 0.8246 | lr 0.06373 | 15.9s
epoch  78/180 | train_loss 0.8662 acc 0.8420 | test_loss 0.9837 acc 0.7912 | lr 0.06287 | 15.9s
epoch  79/180 | train_loss 0.8711 acc 0.8387 | test_loss 0.9605 acc 0.8033 | lr 0.06200 | 15.9s
epoch  80/180 | train_loss 0.8629 acc 0.8412 | test_loss 0.9472 acc 0.8049 | lr 0.06113 | 15.9s
epoch  81/180 | train_loss 0.8643 acc 0.8420 | test_loss 1.1263 acc 0.7278 | lr 0.06025 | 15.9s
epoch  82/180 | train_loss 0.8653 acc 0.8414 | test_loss 0.9064 acc 0.8230 | lr 0.05937 | 15.9s
epoch  83/180 | train_loss 0.8575 acc 0.8447 | test_loss 0.9061 acc 0.8205 | lr 0.05849 | 15.9s
epoch  84/180 | train_loss 0.8588 acc 0.8440 | test_loss 1.0094 acc 0.7813 | lr 0.05760 | 15.9s
epoch  85/180 | train_loss 0.8538 acc 0.8462 | test_loss 0.9039 acc 0.8218 | lr 0.05671 | 15.9s
epoch  86/180 | train_loss 0.8515 acc 0.8460 | test_loss 0.9020 acc 0.8273 | lr 0.05582 | 15.9s
epoch  87/180 | train_loss 0.8531 acc 0.8455 | test_loss 0.8587 acc 0.8432 | lr 0.05493 | 16.0s
epoch  88/180 | train_loss 0.8496 acc 0.8494 | test_loss 0.8980 acc 0.8288 | lr 0.05403 | 15.9s
epoch  89/180 | train_loss 0.8479 acc 0.8492 | test_loss 0.8827 acc 0.8320 | lr 0.05314 | 15.9s
epoch  90/180 | train_loss 0.8417 acc 0.8512 | test_loss 0.8996 acc 0.8232 | lr 0.05224 | 15.9s
epoch  91/180 | train_loss 0.8441 acc 0.8510 | test_loss 0.9274 acc 0.8168 | lr 0.05135 | 15.9s
epoch  92/180 | train_loss 0.8396 acc 0.8535 | test_loss 0.8779 acc 0.8385 | lr 0.05045 | 15.9s
epoch  93/180 | train_loss 0.8355 acc 0.8541 | test_loss 0.9086 acc 0.8261 | lr 0.04955 | 15.9s
epoch  94/180 | train_loss 0.8359 acc 0.8553 | test_loss 0.8894 acc 0.8290 | lr 0.04865 | 15.9s
epoch  95/180 | train_loss 0.8343 acc 0.8542 | test_loss 0.8535 acc 0.8455 | lr 0.04776 | 15.9s
epoch  96/180 | train_loss 0.8299 acc 0.8569 | test_loss 0.8969 acc 0.8287 | lr 0.04686 | 15.9s
epoch  97/180 | train_loss 0.8289 acc 0.8571 | test_loss 0.8756 acc 0.8374 | lr 0.04597 | 15.9s
